Macrotrends Data Download,
,
Real Retail Sales Historical Chart,
,
DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,
,
,
,
ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".,
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.,
,
,
date,Retail sales
01-09-2012,175510
01-10-2012,175089
01-11-2012,176168
01-12-2012,176879
01-01-2013,178014
01-02-2013,179183
01-03-2013,178282
01-04-2013,177748
01-05-2013,178732
01-06-2013,178773
01-07-2013,179691
01-08-2013,178867
01-09-2013,178922
01-10-2013,179499
01-11-2013,179704
01-12-2013,180196
01-01-2014,178184
01-02-2014,180434
01-03-2014,181956
01-04-2014,183385
01-05-2014,183385
01-06-2014,183609
01-07-2014,183727
01-08-2014,185124
01-09-2014,184719
01-10-2014,185428
01-11-2014,186228
01-12-2014,185686
01-01-2015,185900
01-02-2015,185154
01-03-2015,187363
01-04-2015,187586
01-05-2015,188268
01-06-2015,187978
01-07-2015,189151
01-08-2015,189126
01-09-2015,188846
01-10-2015,188106
01-11-2015,188653
01-12-2015,189661
01-01-2016,188354
01-02-2016,190613
01-03-2016,189384
01-04-2016,189272
01-05-2016,189605
01-06-2016,191085
01-07-2016,190743
01-08-2016,190673
01-09-2016,191454
01-10-2016,191366
01-11-2016,190969
01-12-2016,193121
01-01-2017,194317
01-02-2017,194036
01-03-2017,193644
01-04-2017,194165
01-05-2017,193344
01-06-2017,193992
01-07-2017,193920
01-08-2017,193547
01-09-2017,196499
01-10-2017,196605
01-11-2017,198105
01-12-2017,199081
01-01-2018,197492
01-02-2018,198214
01-03-2018,197742
01-04-2018,197759
01-05-2018,199646
01-06-2018,198758
01-07-2018,199980
01-08-2018,199605
01-09-2018,198430
01-10-2018,200095
01-11-2018,200779
01-12-2018,197321
01-01-2019,198560
01-02-2019,198723
01-03-2019,200396
01-04-2019,200016
01-05-2019,200875
01-06-2019,201164
01-07-2019,202685
01-08-2019,203435
01-09-2019,201778
01-10-2019,201908
01-11-2019,202404
01-12-2019,203631
01-01-2020,202590
01-02-2020,203150
01-03-2020,185986
01-04-2020,158936
01-05-2020,188739
01-06-2020,204144
01-07-2020,207562
01-08-2020,208194
01-09-2020,212234
01-10-2020,211216
01-11-2020,208900
01-12-2020,209971
01-01-2021,216756
01-02-2021,210489
01-03-2021,232367
01-04-2021,232706
01-05-2021,229239
01-06-2021,229751
01-07-2021,225150
01-08-2021,226423
01-09-2021,227139
01-10-2021,228650
01-11-2021,229279
01-12-2021,226346
01-01-2022,228319
01-02-2022,229691
01-03-2022,231975
01-04-2022,234066
01-05-2022,231644
01-06-2022,230686
01-07-2022,229110
01-08-2022,230431
01-09-2022,228859
01-10-2022,231097
01-11-2022,227373
01-12-2022,224411
01-01-2023,231650
01-02-2023,228166
01-03-2023,225911
01-04-2023,225929
01-05-2023,227171
01-06-2023,227142
01-07-2023,227955
01-08-2023,228468
01-09-2023,229525
01-10-2023,228767
01-11-2023,228338
01-12-2023,228728
01-01-2024,226130
